food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,total_mass_g,Caloric Value_per_100g,Fat_per_100g,Saturated Fats_per_100g,Monounsaturated Fats_per_100g,Polyunsaturated Fats_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Water_per_100g,Vitamin A_per_100g,Vitamin B1_per_100g,Vitamin B11_per_100g,Vitamin B12_per_100g,Vitamin B2_per_100g,Vitamin B3_per_100g,Vitamin B5_per_100g,Vitamin B6_per_100g,Vitamin C_per_100g,Vitamin D_per_100g,Vitamin E_per_100g,Vitamin K_per_100g,Calcium_per_100g,Copper_per_100g,Iron_per_100g,Magnesium_per_100g,Manganese_per_100g,Phosphorus_per_100g,Potassium_per_100g,Selenium_per_100g,Zinc_per_100g
cream cheese,51,5,2.9,1.3,0.2,0.8,0.5,0.9,0,14.6,0.016,7.6,0.2,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0,0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07,14.3,356.6433566,34.96503497,20.27972028,9.090909091,1.398601399,5.594405594,3.496503497,6.293706294,0,102.0979021,0.111888112,53.14685315,1.398601399,0.230769231,0.447552448,0.643356643,0.678321678,0.587412587,0.363636364,0.671328671,0.027972028,0,0,0.699300699,0.055944056,98.6013986,0.573426573,0.188811189,9.090909091,0.636363636,108.3916084,133.5664336,0.272727273
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0,62.9,0.3,53.6,0.2,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0,0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,83.9,256.2574493,23.1227652,12.99165673,5.840286055,0.953516091,3.694874851,3.218116806,9.296781883,0,74.97020262,0.357568534,63.88557807,0.238379023,0.117997616,0.094159714,0.10727056,0.119189511,0.238379023,0.595947557,0.092967819,0,0,0.357568534,0.05363528,118.5935638,0.040524434,0.119189511,10.13110846,0.10488677,139.8092968,153.9928486,0.064362336,0.834326579
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0,0.9,3.4,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,5.3,924.5283019,67.9245283,43.39622642,16.98113208,0,16.98113208,64.1509434,15.09433962,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ricotta cheese,30,2,1.3,0.5,0.002,1.5,0.091,1.5,0,9.8,0.017,14.7,0.075,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0,0.001,0.011,0.097,41.2,0.097,0.096,4,0.024,30.8,43.8,0.035,5.196,19.7,152.284264,10.15228426,6.598984772,2.538071066,0.010152284,7.614213198,0.461928934,7.614213198,0,49.74619289,0.086294416,74.61928934,0.38071066,0.096446701,0.401015228,0.461928934,0.137055838,0.208121827,0.081218274,0.035532995,0.030456853,0,0.005076142,0.055837563,0.492385787,209.1370558,0.492385787,0.487309645,20.30456853,0.121827411,156.3451777,222.3350254,0.177664975
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0,8.1,0.046,10,0.016,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0,0.036,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007,14.7,204.0816327,15.6462585,9.523809524,4.081632653,0.285714286,8.163265306,6.12244898,8.163265306,0,55.10204082,0.31292517,68.02721088,0.108843537,0.544217687,0.421768707,0.333333333,0.176870748,0.544217687,0.680272109,0.020408163,0,0.244897959,0.06122449,0.129251701,151.0204082,0.489795918,0.054421769,8.163265306,0.666666667,155.1020408,252.3809524,0.231292517,0.360544218
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1,2.8,0,2.2,0.1,12.9,0.063,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0,0,0.049,0.059,63.2,0.039,0.053,4,0.028,94.1,50,0.013,0.3,67.679,17.3,109.8265896,1.156069364,0.578034682,0.526011561,0.433526012,8.092485549,5.780346821,16.1849711,0,12.71676301,0.578034682,74.56647399,0.36416185,0.115606936,0.514450867,0.531791908,0.121387283,0.144508671,1.156069364,0.219653179,0,0,0.283236994,0.341040462,365.3179191,0.225433526,0.306358382,23.12138728,0.161849711,543.9306358,289.017341,0.075144509,1.734104046
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0,30.8,0.2,9.3,0.061,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0,0.034,0.035,0.048,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694,26.8,432.8358209,33.95522388,19.7761194,10.44776119,1.865671642,0.373134328,0.373134328,30.97014925,0,114.9253731,0.746268657,34.70149254,0.22761194,0.078358209,0.268656716,0.291044776,0.014925373,0.160447761,0.746268657,0.190298507,0,0.126865672,0.130597015,0.179104478,1056.343284,0.123134328,0.350746269,37.68656716,0.007462687,632.0895522,84.70149254,0.294776119,4.104477612
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0,27.7,0.2,10.3,0.054,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0,0.06,0.2,0.035,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1,215.53,26.9,420.0743494,34.57249071,19.70260223,9.665427509,1.115241636,3.345724907,0.371747212,23.79182156,0,102.9739777,0.743494424,38.28996283,0.200743494,0.115241636,0.018587361,0.271375465,0.371747212,0.037174721,0.371747212,0.018587361,0,0.223048327,0.743494424,0.130111524,739.0334572,0.36802974,0.286245353,28.2527881,0.234200743,473.605948,79.18215613,0.033457249,3.717472119
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0,12.2,0.2,5.4,0.067,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0,0.095,0.018,0.021,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777,16.9,420.1183432,26.62721893,15.97633136,8.284023669,0.591715976,3.550295858,0.272189349,37.86982249,0,72.18934911,1.183431953,31.95266272,0.396449704,0.366863905,0.585798817,0.349112426,0.337278107,0.230769231,0.355029586,0.390532544,0,0.562130178,0.106508876,0.124260355,1260.946746,0.301775148,0.591715976,46.74556213,0.431952663,739.0532544,98.22485207,0.266272189,2.958579882
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0,5.2,0.008,1.5,0.064,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0,0.073,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38,4.3,0.087,0.1,56.38,4.6,413.0434783,28.26086957,19.56521739,8.695652174,0.760869565,4.347826087,1.913043478,34.7826087,0,113.0434783,0.173913043,32.60869565,1.391304348,1.260869565,0.565217391,0.97826087,1.282608696,1.195652174,0.543478261,0.630434783,0,1.586956522,1.695652174,0.086956522,1156.521739,1,0.652173913,45.65217391,0.043478261,826.0869565,93.47826087,1.891304348,2.173913043
