weight,height,body_fat,muscle_mass,water_perc,bmr,goal,calories,protein,carbs,fat
88,178,24,30,53.32,1320,Muscle Gain,1620,141.75,182.25,36.0
107,168,32,30,57.98,1672,Muscle Gain,1972,172.55,221.85,43.82
71,151,33,31,45.28,1685,Weight Loss,1185,118.5,88.88,39.5
82,161,31,31,37.28,1774,Muscle Gain,2074,181.47,233.33,46.09
91,177,25,34,49.25,1986,Weight Gain,2486,155.38,310.75,69.06
100,193,32,39,56.85,1430,Weight Loss,930,93.0,69.75,31.0
100,156,30,28,46.3,1687,Weight Loss,1187,118.7,89.02,39.57
109,163,27,28,49.4,2197,Muscle Gain,2497,218.49,280.91,55.49
109,156,21,27,49.8,1505,Weight Loss,1005,100.5,75.38,33.5
85,199,17,23,43.55,1689,Weight Gain,2189,136.81,273.62,60.81
91,153,31,37,55.06,1461,Weight Gain,1961,122.56,245.12,54.47
85,163,25,34,39.75,2026,Weight Loss,1526,152.6,114.45,50.87
89,170,25,32,44.88,1352,Weight Gain,1852,115.75,231.5,51.44
74,194,18,34,35.75,2156,Muscle Gain,2456,214.9,276.3,54.58
58,173,10,31,29.5,1362,Muscle Gain,1662,145.42,186.97,36.93
100,166,17,22,60.8,1678,Weight Loss,1178,117.8,88.35,39.27
91,188,18,26,56.42,2079,Weight Gain,2579,161.19,322.38,71.64
82,197,32,24,48.87,2171,Weight Gain,2671,166.94,333.88,74.19
76,184,10,22,36.02,1761,Muscle Gain,2061,180.34,231.86,45.8
50,154,32,33,27.44,1692,Muscle Gain,1992,174.3,224.1,44.27
64,175,19,32,31.38,2163,Muscle Gain,2463,215.51,277.09,54.73
98,181,13,24,48.99,2048,Muscle Gain,2348,205.45,264.15,52.18
92,178,13,32,42.82,1998,Muscle Gain,2298,201.07,258.53,51.07
71,177,11,29,43.43,1945,Weight Gain,2445,152.81,305.62,67.92
60,177,34,26,37.88,1684,Weight Loss,1184,118.4,88.8,39.47
76,162,18,22,34.31,1755,Muscle Gain,2055,179.81,231.19,45.67
58,186,10,38,29.23,1963,Muscle Gain,2263,198.01,254.59,50.29
108,181,33,28,57.32,2129,Weight Loss,1629,162.9,122.17,54.3
107,161,16,21,63.39,1912,Weight Loss,1412,141.2,105.9,47.07
105,166,26,21,57.81,1865,Muscle Gain,2165,189.44,243.56,48.11
86,181,10,20,42.82,1429,Weight Loss,929,92.9,69.67,30.97
93,175,15,23,43.35,1483,Muscle Gain,1783,156.01,200.59,39.62
66,187,33,24,38.05,1497,Weight Gain,1997,124.81,249.62,55.47
60,197,25,20,28.81,1486,Weight Gain,1986,124.12,248.25,55.17
65,178,12,39,33.49,1702,Weight Gain,2202,137.62,275.25,61.17
52,168,29,26,25.21,1939,Muscle Gain,2239,195.91,251.89,49.76
67,189,10,30,34.72,1772,Weight Gain,2272,142.0,284.0,63.11
72,180,19,22,35.69,1443,Weight Gain,1943,121.44,242.88,53.97
97,198,11,20,45.46,1951,Weight Loss,1451,145.1,108.83,48.37
86,181,32,28,43.5,1958,Muscle Gain,2258,197.57,254.03,50.18
69,173,31,20,39.91,1886,Weight Loss,1386,138.6,103.95,46.2
57,185,15,27,32.56,1526,Weight Gain,2026,126.62,253.25,56.28
74,184,34,37,35.68,1637,Weight Gain,2137,133.56,267.12,59.36
103,184,25,28,49.97,1879,Weight Loss,1379,137.9,103.42,45.97
