weight,height,body_fat,muscle_mass,water_perc,goal,training_days,cardio_minutes,strength_sessions,sets,reps
88,178,24,30,60.593820005455385,Weight Loss,5,264,2,2,14
89,173,12,21,59.43997544533649,Weight Gain,4,22,4,4,6
107,171,21,36,55.49549320516778,Muscle Gain,5,61,5,4,11
100,193,32,39,56.84829137724085,Muscle Gain,5,87,4,3,6
53,174,23,37,52.708330050798324,Weight Gain,4,22,4,4,8
57,196,12,33,52.82121215146481,Weight Gain,4,22,4,4,7
53,178,27,31,63.78997883128378,Weight Gain,4,30,3,4,8
70,165,22,37,55.793842647781595,Weight Gain,3,44,3,3,6
58,173,10,31,50.86976349436076,Muscle Gain,5,70,4,4,8
108,154,19,26,58.02154051003889,Muscle Gain,5,31,5,4,6
84,193,17,22,54.44429850323898,Weight Loss,5,283,2,2,13
88,176,18,34,53.55082036717099,Weight Gain,5,38,3,3,9
101,181,13,24,49.9858445829775,Weight Loss,5,186,3,2,19
71,177,11,29,61.16240759128834,Weight Loss,4,283,3,3,15
107,177,34,26,63.13656883091508,Weight Loss,4,174,3,2,15
52,188,15,27,55.68178838750884,Weight Gain,4,50,3,4,9
101,198,26,39,49.93752125677202,Muscle Gain,5,38,4,3,6
51,151,31,24,51.90142496053366,Weight Loss,4,270,3,2,15
81,153,32,30,52.39308912122809,Weight Loss,4,182,3,2,15
71,160,25,35,61.70604991178476,Muscle Gain,6,38,4,3,9
68,175,12,38,51.97331974583459,Muscle Gain,5,70,4,4,7
77,174,27,29,50.15883255430311,Weight Gain,4,20,3,4,7
81,158,18,22,59.00715659945543,Muscle Gain,6,59,5,4,6
57,185,15,27,57.1285811931918,Muscle Gain,5,57,4,3,10
67,151,31,22,58.03922519005201,Weight Loss,6,209,2,3,16
66,182,25,31,55.1762815367752,Weight Gain,3,43,4,4,7
100,157,11,20,56.53807769252718,Weight Loss,5,216,3,2,15
66,193,23,25,52.40317400510889,Weight Loss,4,165,2,2,17
109,182,29,20,51.33844010312555,Weight Gain,3,57,4,4,8
81,196,31,21,50.08327298139478,Weight Gain,4,45,3,4,6
103,197,16,29,61.18722310957027,Muscle Gain,5,50,5,3,9
106,185,22,39,57.999278615555305,Weight Gain,5,24,4,3,8
51,181,32,38,54.3119603626492,Muscle Gain,5,60,5,4,11
91,155,24,30,47.5412102530377,Weight Loss,5,198,3,3,15
53,155,22,39,53.22707810113357,Muscle Gain,4,68,5,4,10
79,168,26,38,53.77942841411272,Muscle Gain,6,64,5,3,11
61,150,10,34,50.004857963291904,Weight Gain,4,49,4,3,6
88,154,31,22,49.95461979002315,Muscle Gain,4,55,4,3,11
98,179,23,39,48.50660539778677,Weight Gain,4,34,3,4,6
72,159,31,24,62.73360774596095,Muscle Gain,5,89,4,4,6
53,165,33,35,57.84838556412631,Weight Loss,5,269,3,2,15
